id,name,genre,artists,album,popularity,duration_ms,explicit
0qRSrdDK4xj1doRViNPYwM,roadrunner (alternative version),alternative,the modern lovers,the modern lovers (expanded version),44,295013,False
5w9JCQrdI23pJA68bJIUlJ,black sheep iii,alternative,alternative radio,black sheep iii,4,184616,False
7J3X43vYtibhBI3aIvLQL3,concertina ballerina,alternative,alternative radio,retrospect,29,175098,False
5AAPK0dTyOrjpOE5CxZ4G5,the alternative song,alternative,thousand foot krutch,set it off,10,264946,False
4CmPBOuhNWAA7AdaOYyTp5,the alternative,alternative,cusp,thanks so much,23,214186,False
6NFSt8JDyjn02DTVGZPVdF,all that i see,alternative,the alternate routes,a sucker's dream,17,227080,False
6EmZb3bivxqrUsOgix6pP2,alternative reality,alternative,"moondeity, phonk killer",voice of the soul,18,149192,True
6Rt5MfCSRWFDFPKMT7LKPp,satellite city,alternative,alternative radio,subject to status,13,208431,False
6D4DDG0bTiCaC4x8EBvkSi,lady stardust - alternative version - take 1,alternative,david bowie,lady stardust (alternative version - take 1),45,207131,False
47ikjIBA3xrUUh9IwfSchC,new alternative,alternative,no hotel,new alternative,5,172710,False
471RMuDrTQqwjdaZ3zLp9L,great summer - soundtrack version genre alternative,alternative,vance joy,great summer,38,222600,False
5LgImTEsMdxEqXa1J4p3CT,alternative,alternative,røry,hurt myself,9,184800,False
58aUcXS67lMkTXQ5sayQiZ,your name - alternative,alternative,"lissom, julien marchal, lowswimmer",your name,43,163182,False
6VrBWh90BiwWmwKtvwWFcq,ambiente,ambient,j balvin,vibras,50,248826,False
01MV13Hg9sfFNtgcMidjgE,ambient white tones,ambient,hovar,lean noise,62,123702,False
69pQIBBVLEDaEOdlGqJcyL,ambient reverie,ambient,rangitoto,ambient reverie,43,123870,False
1j1OFNK8Bg4KPZ9l6ME6MW,ambient,ambient,sound xscape,ambient,20,208666,False
458TLdY9RwkXQaDTSaiLYi,ambient rain,ambient,chill phil,rain & thunder - ambient music,55,134000,False
36tnV7rW48F4aqS0oxOhrs,beyond,ambient,avery's ambient,a new day,48,83478,False
3GOLdD4ay0GxLazBZlLlHM,ambient,ambient,rayne,ambient,17,32250,False
6CvRhqgufOLoYhujaZoxSt,ambient brown 150 hz soft q,ambient,ambient eclipse,focus freq.,56,182624,False
4XkGJeHgiHUL8vfdBEIXJQ,end,ambient,kilometre club,end,37,180768,False
594A2YE8gufLhoi5ZyZz1c,ambient,ambient,ers lofi,ambient,19,128093,False
